number,probability,raw_model_probability,long_rate,short_rate,recent_long_rate,weekday_rate,gap_signal
289,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.011374381089274133,0.01692993664482969,0.020965514254226294,0.023052079007595577
299,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.0530410477559408,0.0280410477559408,0.031135005779650025,0.0214141681307401
314,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.044707714422607465,0.0280410477559408,0.037914666796599175,0.021671987435430314
318,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.0280410477559408,0.02526326997816302,0.020965514254226294,0.021535494862359023
336,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.019707714422607468,0.022485492200385242,0.024355344762700872,0.02211179683754891
349,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.022485492200385242,0.024355344762700872,0.02148999733800193
380,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.011374381089274133,0.01692993664482969,0.020965514254226294,0.023158239897762136
391,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.019707714422607468,0.030818825533718577,0.024355344762700872,0.021520329020906656
394,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.030818825533718577,0.010796022728802566,0.0214141681307401
395,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.019707714422607468,0.02526326997816302,0.020965514254226294,0.022202791886263108
417,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.030818825533718577,0.031135005779650025,0.0214141681307401
447,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.02526326997816302,0.027745175271175447,0.021838811691406335
450,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.011374381089274133,0.019707714422607468,0.01757568374575172,0.023112742373405038
481,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.0280410477559408,0.01757568374575172,0.0214141681307401
509,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.036374381089274134,0.020965514254226294,0.021399002289287733
543,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.011374381089274133,0.01692993664482969,0.031135005779650025,0.02232411861788203
561,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.0280410477559408,0.027745175271175447,0.021429333972192464
568,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.030818825533718577,0.020965514254226294,0.02148999733800193
586,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.0280410477559408,0.02526326997816302,0.01757568374575172,0.02171748495978741
597,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.0280410477559408,0.02526326997816302,0.024355344762700872,0.021641655752525583
605,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.030818825533718577,0.031135005779650025,0.021899475057215796
625,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.011374381089274133,0.0280410477559408,0.031135005779650025,0.0222937869349773
634,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.022485492200385242,0.031135005779650025,0.021505163179454292
686,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.02526326997816302,0.031135005779650025,0.02155066070381139
688,0.022952037878888085,0.02613669051754525,0.02613669051754525,0.036374381089274134,0.030818825533718577,0.024355344762700872,0.021535494862359023
