number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
12,0.23765728565289646,0.23786261367930966,0.2857142857142857,0.3,0.24444444444444444,0.011111111111111112,0.23733366742628034,0.23313361388965886,0.1,0.0,7,712,205,205,0.11847724947841114
13,0.23765728565289646,0.23795649386378417,0.0,0.2,0.3111111111111111,0.009876543209876543,0.2593116894043023,0.2601606409166859,0.3,0.0,0,013,187,182,0.1080743690364043
14,0.23765728565289646,0.23793121592291602,0.42857142857142855,0.16666666666666666,0.2222222222222222,0.007407407407407408,0.2533945296409887,0.24394442470046968,0.06666666666666667,0.0,1,114,200,196,0.11558756046674257
15,0.23765728565289646,0.23782651270101468,0.14285714285714285,0.26666666666666666,0.2,0.011111111111111112,0.22888058205011805,0.18989037064641562,0.06666666666666667,0.0,9,915,202,200,0.11674343607141
16,0.23765728565289646,0.2378951077826942,0.14285714285714285,0.06666666666666667,0.15555555555555556,0.0024691358024691358,0.2449414442648264,0.2601606409166859,0.2,0.0,4,416,193,189,0.11154199585040658
17,0.23765728565289646,0.23785539318208734,0.5714285714285714,0.3,0.26666666666666666,0.014814814814814815,0.23564305035104788,0.24934983010587508,0.03333333333333333,0.0,8,817,191,187,0.11038612024573916
18,0.23765728565289646,0.23783734259869913,0.2857142857142857,0.3,0.26666666666666666,0.014814814814814815,0.23141650766296673,0.21151199226803724,0.0,1.0,7,718,206,205,0.11905518728074485
19,0.23765728565289646,0.23788788660697122,0.14285714285714285,0.3,0.26666666666666666,0.011111111111111112,0.24325082718959395,0.2547552355112805,0.06666666666666667,0.0,8,819,194,194,0.1121199336527403
20,0.23765728565289646,0.23784817283564566,0.5714285714285714,0.23333333333333334,0.2222222222222222,0.013580246913580245,0.2339524332758154,0.21691739767344265,0.03333333333333333,0.0,1,120,200,198,0.11558756046674257
21,0.23765728565289646,0.23788788660697122,0.2857142857142857,0.2,0.24444444444444444,0.009876543209876543,0.24325082718959395,0.17907955983560483,0.1,0.0,2,221,198,197,0.11443168486207514
22,0.23765728565289646,0.2378951077826942,0.42857142857142855,0.2,0.18888888888888888,0.007407407407407408,0.2449414442648264,0.21151199226803724,0.13333333333333333,0.0,3,322,191,188,0.11038612024573916
23,0.23765728565289646,0.2378445627189679,0.0,0.16666666666666666,0.23333333333333334,0.007407407407407408,0.2331071247381992,0.22232280307884805,0.4,0.0,7,723,181,178,0.10460674222240203
24,0.23765728565289646,0.23789871842709637,0.2857142857142857,0.26666666666666666,0.2222222222222222,0.013580246913580245,0.24578675280244264,0.23853901929506427,0.0,1.0,2,224,198,198,0.11443168486207514
25,0.23765728565289646,0.2379023291091923,0.14285714285714285,0.2,0.16666666666666666,0.008641975308641976,0.24663206134005886,0.2547552355112805,0.06666666666666667,0.0,5,525,191,189,0.11038612024573916
26,0.23765728565289646,0.2378301226292135,0.42857142857142855,0.26666666666666666,0.24444444444444444,0.011111111111111112,0.22972589058773427,0.21151199226803724,0.06666666666666667,0.0,3,326,189,187,0.10923024464107173
27,0.23765728565289646,0.23785539318208734,0.2857142857142857,0.3333333333333333,0.28888888888888886,0.013580246913580245,0.23564305035104788,0.2547552355112805,0.0,1.0,5,527,192,191,0.11096405804807287
28,0.23765728565289646,0.23781929295770576,0.14285714285714285,0.13333333333333333,0.2,0.006172839506172839,0.22718996497488558,0.24394442470046968,0.0,1.0,4,428,179,178,0.1034508666177346
29,0.23765728565289646,0.23781207336518248,0.2857142857142857,0.26666666666666666,0.17777777777777778,0.011111111111111112,0.22549934789965312,0.24934983010587508,0.03333333333333333,0.0,4,429,187,184,0.1080743690364043
30,0.23765728565289646,0.23783734259869913,0.0,0.16666666666666666,0.18888888888888888,0.007407407407407408,0.23141650766296673,0.22772820848425346,0.3333333333333333,0.0,4,430,183,180,0.10576261782706944
31,0.23765728565289646,0.23783734259869913,0.14285714285714285,0.1,0.24444444444444444,0.0049382716049382715,0.23141650766296673,0.22772820848425346,0.16666666666666666,0.0,8,831,196,189,0.11327580925740771
32,0.23765728565289646,0.23796732783239063,0.14285714285714285,0.26666666666666666,0.2777777777777778,0.011111111111111112,0.261847615017151,0.2547552355112805,0.16666666666666666,0.0,6,632,189,185,0.10923024464107173
33,0.23765728565289646,0.23782651270101468,0.14285714285714285,0.16666666666666666,0.2111111111111111,0.008641975308641976,0.22888058205011805,0.23853901929506427,0.0,1.0,6,633,182,178,0.10518468002473574
34,0.23765728565289646,0.2377543220534017,0.8571428571428571,0.36666666666666664,0.25555555555555554,0.017283950617283952,0.21197441129779343,0.21691739767344265,0.0,1.0,6,634,190,189,0.10980818244340544
35,0.23765728565289646,0.23785178299001886,0.2857142857142857,0.3,0.2222222222222222,0.013580246913580245,0.23479774181343163,0.21691739767344265,0.0,1.0,3,335,180,178,0.10402880442006832
36,0.23765728565289646,0.23791316138164062,0.42857142857142855,0.23333333333333334,0.28888888888888886,0.009876543209876543,0.24916798695290757,0.2547552355112805,0.03333333333333333,0.0,7,736,202,199,0.11674343607141
37,0.23765728565289646,0.2377723683016437,0.0,0.13333333333333333,0.23333333333333334,0.0049382716049382715,0.21620095398587458,0.21691739767344265,0.6666666666666666,0.0,4,437,183,180,0.10576261782706944
38,0.23765728565289646,0.2377579312276532,0.14285714285714285,0.2,0.25555555555555554,0.008641975308641976,0.21281971983540968,0.24934983010587508,0.03333333333333333,0.0,1,138,205,204,0.11847724947841114
39,0.23765728565289646,0.23785178299001886,0.0,0.16666666666666666,0.17777777777777778,0.009876543209876543,0.23479774181343163,0.22772820848425346,0.5,0.0,9,939,188,185,0.10865230683873801
40,0.23765728565289646,0.2378229028105121,0.42857142857142855,0.2,0.24444444444444444,0.009876543209876543,0.2280352735125018,0.21151199226803724,0.03333333333333333,0.0,1,140,190,188,0.10980818244340544
41,0.23765728565289646,0.23783734259869913,0.14285714285714285,0.26666666666666666,0.2222222222222222,0.009876543209876543,0.23141650766296673,0.23313361388965886,0.2,0.0,8,841,207,205,0.11963312508307856
42,0.23765728565289646,0.2378698343273117,0.2857142857142857,0.3,0.2111111111111111,0.016049382716049384,0.2390242845015128,0.19529577605182102,0.1,0.0,4,442,191,190,0.11038612024573916
43,0.23765728565289646,0.23786622398446333,0.14285714285714285,0.2,0.17777777777777778,0.008641975308641976,0.23817897596389656,0.2601606409166859,0.03333333333333333,0.0,4,443,199,194,0.11500962266440885
44,0.23765728565289646,0.23788066558202442,0.2857142857142857,0.2,0.18888888888888888,0.009876543209876543,0.2415602101143615,0.23853901929506427,0.03333333333333333,0.0,3,344,223,218,0.12888012992041797
45,0.23765728565289646,0.23788066558202442,0.14285714285714285,0.13333333333333333,0.2222222222222222,0.0049382716049382715,0.2415602101143615,0.2547552355112805,0.13333333333333333,0.0,5,545,183,183,0.10576261782706944
46,0.23765728565289646,0.2378409526399857,0.14285714285714285,0.3,0.24444444444444444,0.013580246913580245,0.23226181620058295,0.22772820848425346,0.0,1.0,2,246,190,188,0.10980818244340544
47,0.23765728565289646,0.23786622398446333,0.2857142857142857,0.26666666666666666,0.23333333333333334,0.011111111111111112,0.23817897596389656,0.22772820848425346,0.0,1.0,8,847,201,198,0.11616549826907628
48,0.23765728565289646,0.23781929295770576,0.0,0.16666666666666666,0.2111111111111111,0.006172839506172839,0.22718996497488558,0.2601606409166859,0.43333333333333335,0.0,2,248,190,188,0.10980818244340544
49,0.23765728565289646,0.2379528826162985,0.2857142857142857,0.16666666666666666,0.17777777777777778,0.007407407407407408,0.2584663808666861,0.22772820848425346,0.13333333333333333,0.0,5,549,205,201,0.11847724947841114
50,0.23765728565289646,0.23787705512609245,0.5714285714285714,0.43333333333333335,0.3333333333333333,0.016049382716049384,0.24071490157674524,0.20610658686263184,0.1,0.0,2,250,181,180,0.10460674222240203
51,0.23765728565289646,0.23782651270101468,0.2857142857142857,0.2,0.25555555555555554,0.009876543209876543,0.22888058205011805,0.23313361388965886,0.06666666666666667,0.0,8,851,198,195,0.11443168486207514
52,0.23765728565289646,0.23795649386378417,0.2857142857142857,0.3333333333333333,0.34444444444444444,0.014814814814814815,0.2593116894043023,0.24394442470046968,0.0,1.0,9,952,210,203,0.12136693849007969
53,0.23765728565289646,0.23787344470785482,0.14285714285714285,0.2,0.2222222222222222,0.008641975308641976,0.23986959303912903,0.19529577605182102,0.16666666666666666,0.0,6,653,201,197,0.11616549826907628
54,0.23765728565289646,0.23787344470785482,0.2857142857142857,0.3,0.32222222222222224,0.013580246913580245,0.23986959303912903,0.2547552355112805,0.03333333333333333,0.0,6,654,191,189,0.11038612024573916
55,0.23765728565289646,0.2377579312276532,0.14285714285714285,0.13333333333333333,0.25555555555555554,0.0049382716049382715,0.21281971983540968,0.17907955983560483,0.03333333333333333,0.0,7,755,188,185,0.10865230683873801
56,0.23765728565289646,0.2378301226292135,0.0,0.2,0.18888888888888888,0.008641975308641976,0.22972589058773427,0.17907955983560483,0.23333333333333334,0.0,0,056,185,182,0.10691849343173687
57,0.23765728565289646,0.2378698343273117,0.14285714285714285,0.2,0.2,0.007407407407407408,0.2390242845015128,0.24934983010587508,0.16666666666666666,0.0,8,857,193,190,0.11154199585040658
58,0.23765728565289646,0.23785539318208734,0.14285714285714285,0.16666666666666666,0.23333333333333334,0.006172839506172839,0.23564305035104788,0.2655660463220913,0.0,1.0,3,358,184,181,0.10634055562940316
59,0.23765728565289646,0.23784817283564566,0.14285714285714285,0.13333333333333333,0.2,0.0049382716049382715,0.2339524332758154,0.24394442470046968,0.1,0.0,0,059,216,213,0.12483456530408198
