number,draw_presence_3y,presence_rate_3y,occurrences_3y,occurrence_rate_per_prize,presence_rate_last_30,presence_rate_last_90,presence_rate_last_180,presence_rate_last_365,presence_rate_last_730,current_gap_draws,max_gap_draws_3y,longest_presence_streak_3y,special_hits_3y
57,258,0.23822714681440443,293,0.010020177148524332,0.16666666666666666,0.18888888888888888,0.2388888888888889,0.2493150684931507,0.24794520547945206,8,20,5,14
58,254,0.234533702677747,278,0.0095071987962108,0.1,0.23333333333333334,0.2222222222222222,0.25205479452054796,0.26575342465753427,3,23,4,9
59,252,0.23268698060941828,293,0.010020177148524332,0.1,0.2,0.2111111111111111,0.2054794520547945,0.2095890410958904,6,23,4,12
60,263,0.24284395198522624,297,0.010156971375807941,0.26666666666666666,0.3,0.2722222222222222,0.28493150684931506,0.2589041095890411,1,26,6,11
61,279,0.25761772853185594,312,0.010669949728121473,0.36666666666666664,0.26666666666666666,0.25555555555555554,0.25753424657534246,0.25068493150684934,1,23,4,10
62,279,0.25761772853185594,329,0.01125132519407681,0.3333333333333333,0.2,0.24444444444444444,0.2684931506849315,0.25753424657534246,0,22,5,12
63,272,0.25115420129270544,309,0.010567354057658766,0.3333333333333333,0.2777777777777778,0.24444444444444444,0.2493150684931507,0.25205479452054796,3,17,3,8
64,255,0.23545706371191136,287,0.00981498580759892,0.26666666666666666,0.2222222222222222,0.2611111111111111,0.2547945205479452,0.2452054794520548,2,18,3,13
65,255,0.23545706371191136,300,0.010259567046270648,0.16666666666666666,0.2222222222222222,0.23333333333333334,0.2465753424657534,0.23150684931506849,0,21,4,11
66,270,0.24930747922437674,314,0.010738346841763278,0.23333333333333334,0.23333333333333334,0.22777777777777777,0.2219178082191781,0.2356164383561644,0,24,5,10
67,247,0.22807017543859648,276,0.009438801682568996,0.23333333333333334,0.2222222222222222,0.18888888888888888,0.2191780821917808,0.23013698630136986,9,16,3,12
68,267,0.24653739612188366,300,0.010259567046270648,0.16666666666666666,0.24444444444444444,0.24444444444444444,0.2602739726027397,0.25753424657534246,9,19,5,18
69,276,0.2548476454293629,316,0.010806743955405082,0.36666666666666664,0.2777777777777778,0.2722222222222222,0.2821917808219178,0.2602739726027397,0,18,5,13
70,234,0.21606648199445982,264,0.00902841900071817,0.2,0.2111111111111111,0.20555555555555555,0.20821917808219179,0.2095890410958904,1,21,3,13
71,233,0.21514312096029548,275,0.009404603125748093,0.06666666666666667,0.17777777777777778,0.18888888888888888,0.21095890410958903,0.21506849315068494,1,30,4,9
72,264,0.24376731301939059,297,0.010156971375807941,0.23333333333333334,0.2222222222222222,0.2388888888888889,0.2273972602739726,0.23835616438356164,4,29,4,4
73,264,0.24376731301939059,297,0.010156971375807941,0.16666666666666666,0.23333333333333334,0.26666666666666666,0.2602739726027397,0.24383561643835616,0,27,5,9
74,249,0.2299168975069252,286,0.009780787250778017,0.23333333333333334,0.2222222222222222,0.23333333333333334,0.2410958904109589,0.2356164383561644,0,19,3,9
75,277,0.25577100646352724,316,0.010806743955405082,0.26666666666666666,0.25555555555555554,0.22777777777777777,0.2328767123287671,0.2602739726027397,13,14,5,9
76,259,0.23915050784856878,292,0.00998597859170343,0.23333333333333334,0.24444444444444444,0.20555555555555555,0.22465753424657534,0.23835616438356164,0,25,5,12
