number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit
37,0.23765728565289646,0.23719085644692034,0.42857142857142855,0.23333333333333334,0.2777777777777778,0.008641975308641976,0.21704626252349082,0.1963571661390592,0.0,1.0
38,0.23765728565289646,0.23722440003766743,0.14285714285714285,0.3,0.26666666666666666,0.013580246913580245,0.21789157106110704,0.22353107918253745,0.0,1.0
39,0.23765728565289646,0.23796318573467973,0.42857142857142855,0.2,0.17777777777777778,0.007407407407407408,0.2364883588886641,0.22353107918253745,0.03333333333333333,0.0
40,0.23765728565289646,0.23762717802471586,0.14285714285714285,0.26666666666666666,0.24444444444444444,0.013580246913580245,0.2280352735125018,0.25613977483471134,0.13333333333333333,0.0
41,0.23765728565289646,0.2378287434520299,0.0,0.13333333333333333,0.18888888888888888,0.0049382716049382715,0.2331071247381992,0.19092238353036353,0.23333333333333334,0.0
42,0.23765728565289646,0.2380976802746469,0.14285714285714285,0.23333333333333334,0.2111111111111111,0.009876543209876543,0.23986959303912903,0.23983542700862442,0.13333333333333333,0.0
43,0.23765728565289646,0.2379295702646396,0.42857142857142855,0.3,0.2222222222222222,0.012345679012345678,0.23564305035104788,0.18005281831297223,0.06666666666666667,0.0
44,0.23765728565289646,0.238232227065406,0.5714285714285714,0.26666666666666666,0.2111111111111111,0.012345679012345678,0.24325082718959395,0.2507049922260157,0.1,0.0
45,0.23765728565289646,0.23816494713908656,0.14285714285714285,0.16666666666666666,0.2,0.006172839506172839,0.2415602101143615,0.2724441226607983,0.0,1.0
46,0.23765728565289646,0.2376943534331888,0.2857142857142857,0.2,0.23333333333333334,0.008641975308641976,0.22972589058773427,0.30505281831297226,0.1,0.0
47,0.23765728565289646,0.23806405174088788,0.2857142857142857,0.2,0.25555555555555554,0.008641975308641976,0.2390242845015128,0.22353107918253745,0.0,1.0
48,0.23765728565289646,0.23759359522106846,0.14285714285714285,0.23333333333333334,0.24444444444444444,0.008641975308641976,0.22718996497488558,0.23440064439992875,0.2,0.0
49,0.23765728565289646,0.23887203766887724,0.2857142857142857,0.3,0.2111111111111111,0.013580246913580245,0.2593116894043023,0.24527020961732007,0.06666666666666667,0.0
50,0.23765728565289646,0.23806405174088788,0.42857142857142855,0.36666666666666664,0.32222222222222224,0.014814814814814815,0.2390242845015128,0.277878905269494,0.06666666666666667,0.0
51,0.23765728565289646,0.23762717802471586,0.14285714285714285,0.3,0.24444444444444444,0.012345679012345678,0.2280352735125018,0.2289658617912331,0.16666666666666666,0.0
52,0.23765728565289646,0.2389394546949646,0.2857142857142857,0.3,0.32222222222222224,0.012345679012345678,0.26100230647953476,0.24527020961732007,0.06666666666666667,0.0
53,0.23765728565289646,0.23816494713908656,0.2857142857142857,0.2,0.2222222222222222,0.009876543209876543,0.2415602101143615,0.261574557443407,0.06666666666666667,0.0
54,0.23765728565289646,0.238232227065406,0.0,0.3,0.3111111111111111,0.011111111111111112,0.24325082718959395,0.21266151396514615,0.36666666666666664,0.0
55,0.23765728565289646,0.2369561428320265,0.14285714285714285,0.16666666666666666,0.2111111111111111,0.006172839506172839,0.2111291027601772,0.23440064439992875,0.13333333333333333,0.0
56,0.23765728565289646,0.23772794603781328,0.14285714285714285,0.16666666666666666,0.18888888888888888,0.007407407407407408,0.23057119912535048,0.23440064439992875,0.1,0.0
57,0.23765728565289646,0.23796318573467973,0.42857142857142855,0.13333333333333333,0.18888888888888888,0.0049382716049382715,0.2364883588886641,0.23440064439992875,0.03333333333333333,0.0
58,0.23765728565289646,0.2378287434520299,0.2857142857142857,0.13333333333333333,0.18888888888888888,0.0049382716049382715,0.2331071247381992,0.18548760092166788,0.0,1.0
59,0.23765728565289646,0.2377951410473348,0.14285714285714285,0.13333333333333333,0.17777777777777778,0.007407407407407408,0.23226181620058295,0.23983542700862442,0.03333333333333333,0.0
60,0.23765728565289646,0.23816494713908656,0.0,0.13333333333333333,0.26666666666666666,0.0049382716049382715,0.2415602101143615,0.277878905269494,0.23333333333333334,0.0
61,0.23765728565289646,0.23877093660467336,0.14285714285714285,0.3,0.3111111111111111,0.012345679012345678,0.2567757637914536,0.2833136878781896,0.13333333333333333,0.0
62,0.23765728565289646,0.23866986491290273,0.42857142857142855,0.36666666666666664,0.26666666666666666,0.013580246913580245,0.25423983817860496,0.23440064439992875,0.13333333333333333,0.0
63,0.23765728565289646,0.23846780965795517,0.42857142857142855,0.23333333333333334,0.25555555555555554,0.009876543209876543,0.24916798695290757,0.2887484704868853,0.0,1.0
64,0.23765728565289646,0.23816494713908656,0.5714285714285714,0.43333333333333335,0.28888888888888886,0.018518518518518517,0.2415602101143615,0.2724441226607983,0.0,1.0
65,0.23765728565289646,0.23786234912321327,0.0,0.1,0.2111111111111111,0.003703703703703704,0.2339524332758154,0.2996180357042766,0.36666666666666664,0.0
66,0.23765728565289646,0.23843414520742245,0.14285714285714285,0.16666666666666666,0.17777777777777778,0.006172839506172839,0.24832267841529132,0.2072267313564505,0.06666666666666667,0.0
67,0.23765728565289646,0.2377951410473348,0.42857142857142855,0.26666666666666666,0.25555555555555554,0.011111111111111112,0.23226181620058295,0.2887484704868853,0.03333333333333333,0.0
68,0.23765728565289646,0.23840048402153557,0.2857142857142857,0.3,0.26666666666666666,0.012345679012345678,0.2474773698776751,0.20179194874775486,0.0,1.0
69,0.23765728565289646,0.2386361808766754,0.2857142857142857,0.3,0.2777777777777778,0.011111111111111112,0.2533945296409887,0.277878905269494,0.03333333333333333,0.0
70,0.23765728565289646,0.23742573021272992,0.5714285714285714,0.4,0.2777777777777778,0.014814814814814815,0.22296342228680444,0.21266151396514615,0.03333333333333333,0.0
71,0.23765728565289646,0.23715731612455979,0.14285714285714285,0.16666666666666666,0.17777777777777778,0.006172839506172839,0.21620095398587458,0.21266151396514615,0.1,0.0
72,0.23765728565289646,0.23816494713908656,0.2857142857142857,0.26666666666666666,0.2111111111111111,0.011111111111111112,0.2415602101143615,0.2507049922260157,0.06666666666666667,0.0
73,0.23765728565289646,0.23829952005278415,0.42857142857142855,0.4,0.23333333333333334,0.017283950617283952,0.2449414442648264,0.2289658617912331,0.0,1.0
74,0.23765728565289646,0.23762717802471586,0.2857142857142857,0.16666666666666666,0.18888888888888888,0.006172839506172839,0.2280352735125018,0.24527020961732007,0.06666666666666667,0.0
75,0.23765728565289646,0.23860250010447026,0.14285714285714285,0.06666666666666667,0.2222222222222222,0.0024691358024691358,0.25254922110337247,0.2941832530955809,0.1,0.0
76,0.23765728565289646,0.23806405174088788,0.2857142857142857,0.3333333333333333,0.24444444444444444,0.012345679012345678,0.2390242845015128,0.23440064439992875,0.0,1.0
77,0.23765728565289646,0.2381985854695626,0.7142857142857143,0.4,0.2777777777777778,0.014814814814814815,0.2424055186519777,0.2289658617912331,0.06666666666666667,0.0
78,0.23765728565289646,0.23803042647290568,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.006172839506172839,0.23817897596389656,0.19092238353036353,0.2,0.0
79,0.23765728565289646,0.23860250010447026,0.14285714285714285,0.13333333333333333,0.2,0.0049382716049382715,0.25254922110337247,0.23983542700862442,0.0,1.0
80,0.23765728565289646,0.2379295702646396,0.2857142857142857,0.26666666666666666,0.2777777777777778,0.009876543209876543,0.23564305035104788,0.2072267313564505,0.16666666666666666,0.0
81,0.23765728565289646,0.23853514835254358,0.0,0.26666666666666666,0.25555555555555554,0.012345679012345678,0.25085860402814003,0.277878905269494,0.26666666666666666,0.0
82,0.23765728565289646,0.23803042647290568,0.0,0.16666666666666666,0.2,0.006172839506172839,0.23817897596389656,0.23983542700862442,0.3,0.0
83,0.23765728565289646,0.23816494713908656,0.0,0.23333333333333334,0.3333333333333333,0.009876543209876543,0.2415602101143615,0.25613977483471134,0.26666666666666666,0.0
84,0.23765728565289646,0.23762717802471586,0.42857142857142855,0.26666666666666666,0.2777777777777778,0.009876543209876543,0.2280352735125018,0.23440064439992875,0.03333333333333333,0.0
85,0.23765728565289646,0.2369561428320265,0.2857142857142857,0.16666666666666666,0.2111111111111111,0.006172839506172839,0.2111291027601772,0.20179194874775486,0.0,1.0
86,0.23765728565289646,0.23796318573467973,0.14285714285714285,0.2,0.2777777777777778,0.007407407407407408,0.2364883588886641,0.2289658617912331,0.0,1.0
87,0.23765728565289646,0.23745929667941124,0.14285714285714285,0.23333333333333334,0.24444444444444444,0.008641975308641976,0.22380873082442065,0.20179194874775486,0.06666666666666667,0.0
88,0.23765728565289646,0.23789595806078365,0.42857142857142855,0.3333333333333333,0.24444444444444444,0.014814814814814815,0.23479774181343163,0.23983542700862442,0.03333333333333333,0.0
89,0.23765728565289646,0.2381985854695626,0.0,0.13333333333333333,0.23333333333333334,0.0049382716049382715,0.2424055186519777,0.24527020961732007,0.6,0.0
90,0.23765728565289646,0.2386361808766754,0.14285714285714285,0.2,0.2777777777777778,0.007407407407407408,0.2533945296409887,0.2289658617912331,0.03333333333333333,0.0
91,0.23765728565289646,0.23873724277700634,0.14285714285714285,0.16666666666666666,0.23333333333333334,0.007407407407407408,0.2559304552538374,0.2289658617912331,0.03333333333333333,0.0
92,0.23765728565289646,0.23880463369594412,0.0,0.13333333333333333,0.24444444444444444,0.0049382716049382715,0.25762107232906983,0.24527020961732007,0.4,0.0
93,0.23765728565289646,0.23756001568461418,0.7142857142857143,0.3,0.23333333333333334,0.014814814814814815,0.22634465643726934,0.2507049922260157,0.0,1.0
94,0.23765728565289646,0.23860250010447026,0.14285714285714285,0.3,0.25555555555555554,0.012345679012345678,0.25254922110337247,0.2289658617912331,0.03333333333333333,0.0
95,0.23765728565289646,0.23846780965795517,0.2857142857142857,0.3333333333333333,0.32222222222222224,0.013580246913580245,0.24916798695290757,0.2507049922260157,0.06666666666666667,0.0
96,0.23765728565289646,0.23799680447080238,0.42857142857142855,0.3,0.23333333333333334,0.012345679012345678,0.23733366742628034,0.21266151396514615,0.0,1.0
97,0.23765728565289646,0.23843414520742245,0.42857142857142855,0.23333333333333334,0.2,0.011111111111111112,0.24832267841529132,0.22353107918253745,0.03333333333333333,0.0
98,0.23765728565289646,0.23772794603781328,0.14285714285714285,0.1,0.15555555555555556,0.003703703703703704,0.23057119912535048,0.2289658617912331,0.16666666666666666,0.0
99,0.23765728565289646,0.23836682610039805,0.2857142857142857,0.3333333333333333,0.24444444444444444,0.014814814814814815,0.24663206134005886,0.22353107918253745,0.0,1.0
