number,draw_presence_2y,presence_rate_2y,occurrences_2y,occurrence_rate_per_prize,presence_prev_year,presence_rate_prev_year,presence_recent_year,presence_rate_recent_year,presence_rate_delta_recent_minus_prev,occurrences_prev_year,occurrences_recent_year,presence_last_30,presence_rate_last_30,presence_last_90,presence_rate_last_90,presence_last_180,presence_rate_last_180,current_gap_draws,max_gap_draws_2y,longest_presence_streak_2y,special_hits_2y,special_hits_prev_year,special_hits_recent_year
76,170,0.23545706371191136,192,0.009849184364419821,90,0.24930747922437674,80,0.22160664819944598,-0.02770083102493076,104,88,4,0.13333333333333333,21,0.23333333333333334,35,0.19444444444444445,5,25,4,8,5,3
77,175,0.24238227146814403,193,0.009900482199651174,85,0.23545706371191136,90,0.24930747922437674,0.01385041551246538,95,98,8,0.26666666666666666,20,0.2222222222222222,46,0.25555555555555554,1,15,5,9,5,4
78,179,0.24792243767313019,201,0.010310864881502001,96,0.2659279778393352,83,0.2299168975069252,-0.03601108033240999,111,90,6,0.2,21,0.23333333333333334,38,0.2111111111111111,0,21,3,7,3,4
79,172,0.23822714681440443,193,0.009900482199651174,90,0.24930747922437674,82,0.22714681440443213,-0.02216066481994461,98,95,6,0.2,19,0.2111111111111111,43,0.2388888888888889,1,21,4,11,4,7
80,170,0.23545706371191136,192,0.009849184364419821,81,0.22437673130193905,89,0.24653739612188366,0.02216066481994461,89,103,8,0.26666666666666666,27,0.3,47,0.2611111111111111,2,29,4,10,7,3
81,180,0.24930747922437674,207,0.01061865189289012,93,0.25761772853185594,87,0.2409972299168975,-0.01662049861495843,106,101,8,0.26666666666666666,23,0.25555555555555554,47,0.2611111111111111,2,21,5,6,3,3
82,165,0.22853185595567868,188,0.009643993023494408,84,0.23268698060941828,81,0.22437673130193905,-0.008310249307479228,92,96,8,0.26666666666666666,15,0.16666666666666666,33,0.18333333333333332,6,26,4,4,2,2
83,178,0.24653739612188366,205,0.010516056222427414,68,0.1883656509695291,110,0.3047091412742382,0.11634349030470911,80,125,11,0.36666666666666664,35,0.3888888888888889,56,0.3111111111111111,0,17,5,10,2,8
84,161,0.22299168975069253,178,0.009131014671180876,73,0.20221606648199447,88,0.24376731301939059,0.041551246537396114,78,100,9,0.3,28,0.3111111111111111,50,0.2777777777777778,0,21,3,4,1,3
85,159,0.22022160664819945,186,0.009541397353031703,85,0.23545706371191136,74,0.20498614958448755,-0.03047091412742381,97,89,6,0.2,21,0.23333333333333334,38,0.2111111111111111,16,20,6,5,2,3
