number,draw_presence_2y,presence_rate_2y,occurrences_2y,occurrence_rate_per_prize,presence_prev_year,presence_rate_prev_year,presence_recent_year,presence_rate_recent_year,presence_rate_delta_recent_minus_prev,occurrences_prev_year,occurrences_recent_year,presence_last_30,presence_rate_last_30,presence_last_90,presence_rate_last_90,presence_last_180,presence_rate_last_180,current_gap_draws,max_gap_draws_2y,longest_presence_streak_2y,special_hits_2y,special_hits_prev_year,special_hits_recent_year
86,175,0.24238227146814403,200,0.010259567046270648,96,0.2659279778393352,79,0.2188365650969529,-0.047091412742382294,114,86,10,0.3333333333333333,27,0.3,40,0.2222222222222222,1,16,4,10,5,5
87,163,0.2257617728531856,187,0.009592695188263054,72,0.1994459833795014,91,0.2520775623268698,0.05263157894736839,80,107,6,0.2,20,0.2222222222222222,43,0.2388888888888889,4,21,4,5,3,2
88,175,0.24238227146814403,191,0.009797886529188468,86,0.23822714681440443,89,0.24653739612188366,0.008310249307479228,91,100,7,0.23333333333333334,17,0.18888888888888888,34,0.18888888888888888,4,20,5,8,3,5
89,166,0.2299168975069252,191,0.009797886529188468,78,0.21606648199445982,88,0.24376731301939059,0.02770083102493076,89,102,7,0.23333333333333334,21,0.23333333333333334,42,0.23333333333333334,0,24,4,5,2,3
90,176,0.24376731301939059,195,0.010003077870113881,89,0.24653739612188366,87,0.2409972299168975,-0.005540166204986152,95,100,10,0.3333333333333333,28,0.3111111111111111,53,0.29444444444444445,2,22,4,6,2,4
91,199,0.2756232686980609,231,0.011849799938442597,92,0.2548476454293629,107,0.296398891966759,0.041551246537396114,106,125,4,0.13333333333333333,23,0.25555555555555554,64,0.35555555555555557,5,14,5,4,0,4
92,191,0.26454293628808867,219,0.01123422591566636,90,0.24930747922437674,101,0.27977839335180055,0.03047091412742381,98,121,9,0.3,28,0.3111111111111111,49,0.2722222222222222,7,17,7,13,6,7
93,159,0.22022160664819945,171,0.008771929824561403,75,0.2077562326869806,84,0.23268698060941828,0.024930747922437685,80,91,7,0.23333333333333334,18,0.2,40,0.2222222222222222,0,17,3,9,2,7
94,185,0.2562326869806094,214,0.010977736739509593,92,0.2548476454293629,93,0.25761772853185594,0.0027700831024930483,111,103,8,0.26666666666666666,21,0.23333333333333334,45,0.25,3,16,3,10,5,5
95,186,0.25761772853185594,206,0.010567354057658766,84,0.23268698060941828,102,0.28254847645429365,0.04986149584487537,93,113,11,0.36666666666666664,27,0.3,53,0.29444444444444445,0,17,5,3,1,2
96,161,0.22299168975069253,185,0.00949009951780035,79,0.2188365650969529,82,0.22714681440443213,0.008310249307479228,91,94,3,0.1,17,0.18888888888888888,40,0.2222222222222222,13,23,9,5,3,2
97,180,0.24930747922437674,206,0.010567354057658766,91,0.2520775623268698,89,0.24653739612188366,-0.0055401662049861244,109,97,8,0.26666666666666666,20,0.2222222222222222,45,0.25,1,18,5,11,7,4
98,163,0.2257617728531856,190,0.009746588693957114,90,0.24930747922437674,73,0.20221606648199447,-0.047091412742382266,106,84,6,0.2,17,0.18888888888888888,40,0.2222222222222222,5,20,4,3,3,0
99,169,0.23407202216066483,188,0.009643993023494408,94,0.26038781163434904,75,0.2077562326869806,-0.052631578947368446,106,82,6,0.2,17,0.18888888888888888,38,0.2111111111111111,1,17,4,6,4,2
