approved,baseline_brier,brier_improvement,draws,model_brier,positive_years,recipe,required_positive_years,target,year
,0.0029910000089940006,-8.333363158462628e-07,361,0.002991833345309847,,gap,,g6_exact,2021
,0.0029910000089940006,-3.917847214741921e-07,361,0.002991391793715475,,long_only,,g6_exact,2022
,0.0029910000089940006,-1.1860886628962779e-06,361,0.002992186097656897,,recency,,g6_exact,2022
,0.0029910000089940006,-9.052426331772681e-07,361,0.002991905251627178,,weekday,,g6_exact,2022
,0.0029910000089940006,-1.0438081466997845e-06,361,0.0029920438171407004,,gap,,g6_exact,2022
,0.0029910000089940006,-3.823243701463544e-07,361,0.002991382333364147,,long_only,,g6_exact,2023
,0.0029910000089940006,-1.101046368280189e-06,361,0.0029921010553622808,,recency,,g6_exact,2023
,0.0029910000089940006,-8.538524909986779e-07,361,0.0029918538614849993,,weekday,,g6_exact,2023
,0.0029910000089940006,-9.83173476628435e-07,361,0.002991983182470629,,gap,,g6_exact,2023
,0.0029910000089940006,-3.6848704054390224e-07,362,0.0029913684960345445,,long_only,,g6_exact,2024
,0.0029910000089940006,-1.0069715268472626e-06,362,0.002992006980520848,,recency,,g6_exact,2024
,0.0029910000089940006,-7.66616769812007e-07,362,0.0029917666257638126,,weekday,,g6_exact,2024
,0.0029910000089940006,-8.933325692768793e-07,362,0.0029918933415632775,,gap,,g6_exact,2024
,0.0029910000089940006,-2.8175411834934286e-07,361,0.00299128176311235,,long_only,,g6_exact,2025
,0.0029910000089940006,-1.3096680870133479e-06,361,0.002992309677081014,,recency,,g6_exact,2025
,0.0029910000089940006,-9.948264243424092e-07,361,0.002991994835418343,,weekday,,g6_exact,2025
,0.0029910000089940006,-1.1851455258256663e-06,361,0.0029921851545198263,,gap,,g6_exact,2025
,0.0029910000089940006,-1.1849088783289288e-07,224,0.0029911184998818335,,long_only,,g6_exact,2026
,0.0029910000089940006,-1.2346709720926878e-06,224,0.0029922346799660933,,recency,,g6_exact,2026
,0.0029910000089940006,-9.466253406247016e-07,224,0.0029919466343346253,,weekday,,g6_exact,2026
,0.0029910000089940006,-1.1337017312433757e-06,224,0.002992133710725244,,gap,,g6_exact,2026
False,0.181309593622008,-4.445855483026229e-05,2030,0.18135405217683825,0,long_only,4,two_digit,ALL
False,0.181309593622008,-0.00020365700435101552,2030,0.181513250626359,0,recency,4,two_digit,ALL
False,0.181309593622008,-0.00014800632060638086,2030,0.18145759994261437,0,weekday,4,two_digit,ALL
False,0.181309593622008,-0.00018451204587779935,2030,0.1814941056678858,0,gap,4,two_digit,ALL
False,0.022242076565941404,-2.785965467471535e-06,2030,0.022244862531408876,0,long_only,4,suffix3_any,ALL
False,0.022242076565941404,-1.4417076003834378e-05,2030,0.02225649364194524,0,recency,4,suffix3_any,ALL
False,0.022242076565941404,-1.0540880186378498e-05,2030,0.022252617446127783,0,weekday,4,suffix3_any,ALL
False,0.022242076565941404,-1.2838812983487213e-05,2030,0.02225491537892489,0,gap,4,suffix3_any,ALL
False,0.0029910000089940006,-3.4027737187344864e-07,2030,0.002991340286365874,0,long_only,4,g6_exact,ALL
False,0.0029910000089940006,-1.1308634260188445e-06,2030,0.0029921308724200194,0,recency,4,g6_exact,ALL
False,0.0029910000089940006,-8.565852218601552e-07,2030,0.0029918565942158607,0,weekday,4,g6_exact,ALL
False,0.0029910000089940006,-1.0038166939610113e-06,2030,0.0029920038256879616,0,gap,4,g6_exact,ALL
