number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
23,7545,2013,1793,0.23764082173624917,0.23765728565289646,-0.003359789645988078,0.9973192807573316,0.9973192807573316,0.13333333333333333,0.2111111111111111,0.23013698630136986,0.2328767123287671,2
24,7545,2091,1833,0.24294234592445327,0.23765728565289646,1.0785216640253634,0.28080101910391975,0.9551042353192827,0.16666666666666666,0.2222222222222222,0.23835616438356164,0.2447488584474886,10
25,7545,2003,1781,0.23605036447978794,0.23765728565289646,-0.3279242257473941,0.7429689561494696,0.9854326545942192,0.13333333333333333,0.15555555555555556,0.23013698630136986,0.2465753424657534,2
26,7545,2027,1778,0.23565275016567264,0.23765728565289646,-0.4090653347727456,0.6824917149655718,0.9854326545942192,0.36666666666666664,0.2777777777777778,0.21643835616438356,0.2328767123287671,0
27,7545,2023,1766,0.2340622929092114,0.23765728565289646,-0.7336297708741516,0.46317441142782073,0.9854326545942192,0.16666666666666666,0.25555555555555554,0.26301369863013696,0.23378995433789954,16
28,7545,1911,1703,0.22571239231278992,0.23765728565289646,-2.437593060406539,0.014785407985204353,0.4928469328401451,0.16666666666666666,0.17777777777777778,0.2328767123287671,0.2264840182648402,0
29,7545,2063,1831,0.24267726971504308,0.23765728565289646,1.0244275913417995,0.30563335530217045,0.9551042353192827,0.23333333333333334,0.2,0.19726027397260273,0.22465753424657534,1
30,7545,2033,1789,0.23711066931742877,0.23765728565289646,-0.11154793501312153,0.9111818561035192,0.9892136679403001,0.1,0.17777777777777778,0.22465753424657534,0.22557077625570776,6
31,7545,2057,1804,0.2390987408880053,0.23765728565289646,0.294157610113636,0.7686374705834911,0.9854326545942192,0.2,0.2222222222222222,0.25205479452054796,0.23013698630136986,1
32,7545,2089,1821,0.24135188866799204,0.23765728565289646,0.7539572279239574,0.4508749053336919,0.9854326545942192,0.3333333333333333,0.32222222222222224,0.2465753424657534,0.26575342465753427,2
33,7545,2018,1782,0.23618290258449304,0.23765728565289646,-0.30087718940561214,0.7635081450368041,0.9854326545942192,0.26666666666666666,0.25555555555555554,0.24383561643835616,0.23013698630136986,0
34,7545,1962,1746,0.23141153081510935,0.23765728565289646,-1.2745704977098302,0.2024613053107686,0.9532431747873397,0.4666666666666667,0.2777777777777778,0.2493150684931507,0.21187214611872146,3
35,7545,1977,1767,0.2341948310139165,0.23765728565289646,-0.7065827345323696,0.4798258214992514,0.9854326545942192,0.3,0.25555555555555554,0.2356164383561644,0.2374429223744292,0
36,7545,2104,1863,0.24691848906560637,0.23765728565289646,1.8899327542788842,0.05876695424177748,0.8174191596133732,0.23333333333333334,0.25555555555555554,0.2410958904109589,0.24840182648401826,2
37,7545,1985,1770,0.2345924453280318,0.23765728565289646,-0.6254416255070182,0.5316812495963059,0.9854326545942192,0.23333333333333334,0.2777777777777778,0.21643835616438356,0.2146118721461187,0
38,7545,2132,1890,0.2504970178926441,0.23765728565289646,2.620202735507042,0.008787750700892855,0.43938753504464273,0.3,0.26666666666666666,0.2493150684931507,0.21552511415525114,0
