number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
815,7524,172,172,0.022860180754917598,0.022748762178548265,0.06481865254274569,0.9483183900985951,0.9786567493277555,0.0,0.011111111111111112,0.0136986301369863,0.0228310502283105,48
816,7524,165,163,0.02166400850611377,0.022748762178548265,-0.6310641697209107,0.5279985676852266,0.9371331300381368,0.0,0.011111111111111112,0.019178082191780823,0.026484018264840183,52
817,7524,191,187,0.024853801169590642,0.022748762178548265,1.2246233563155056,0.2207171636284594,0.9136596251577292,0.03333333333333333,0.03333333333333333,0.030136986301369864,0.023744292237442923,6
818,7524,162,162,0.0215311004784689,0.022748762178548265,-0.7083844833057616,0.4787065256457201,0.9362992820840972,0.0,0.011111111111111112,0.0136986301369863,0.021917808219178082,73
819,7524,194,194,0.025784157363104732,0.022748762178548265,1.765865551409462,0.07741840780366614,0.880188878066903,0.03333333333333333,0.022222222222222223,0.030136986301369864,0.023744292237442923,17
820,7524,168,166,0.022062732589048378,0.022748762178548265,-0.3991032289663599,0.6898171431586075,0.9444399839638302,0.0,0.011111111111111112,0.024657534246575342,0.0228310502283105,83
821,7524,160,158,0.02099946836788942,0.022748762178548265,-1.0176657376451654,0.30883683508398074,0.9157596050401668,0.03333333333333333,0.022222222222222223,0.010958904109589041,0.01643835616438356,17
822,7524,168,165,0.021929824561403508,0.022748762178548265,-0.47642354255121083,0.6337726656374918,0.9444399839638302,0.0,0.0,0.019178082191780823,0.021004566210045664,95
823,7524,177,174,0.023125996810207338,0.022748762178548265,0.21945927971244755,0.8262922967566596,0.9619235119402324,0.03333333333333333,0.05555555555555555,0.024657534246575342,0.0228310502283105,15
824,7524,173,170,0.022594364699627858,0.022748762178548265,-0.08982197462695618,0.928428685545224,0.9786567493277555,0.03333333333333333,0.022222222222222223,0.019178082191780823,0.0228310502283105,5
825,7524,172,170,0.022594364699627858,0.022748762178548265,-0.08982197462695618,0.928428685545224,0.9786567493277555,0.0,0.011111111111111112,0.0136986301369863,0.019178082191780823,52
826,7524,185,184,0.024455077086656035,0.022748762178548265,0.9926624155609549,0.32087449673070356,0.9157596050401668,0.03333333333333333,0.03333333333333333,0.0136986301369863,0.019178082191780823,26
827,7524,183,183,0.024322169059011165,0.022748762178548265,0.9153421019761039,0.3600120631105592,0.9157596050401668,0.06666666666666667,0.044444444444444446,0.030136986301369864,0.021004566210045664,9
828,7524,146,146,0.019404572036150983,0.022748762178548265,-1.9455095006633745,0.05171368738337988,0.880188878066903,0.0,0.011111111111111112,0.019178082191780823,0.0136986301369863,83
829,7524,180,180,0.023923444976076555,0.022748762178548265,0.6833811612215511,0.49436602094040333,0.9362992820840972,0.0,0.011111111111111112,0.030136986301369864,0.028310502283105023,77
830,7524,178,173,0.022993088782562468,0.022748762178548265,0.1421389661275966,0.8869702401071115,0.9651471600730266,0.03333333333333333,0.011111111111111112,0.010958904109589041,0.021004566210045664,15
831,7524,196,189,0.025119617224880382,0.022748762178548265,1.3792639834852076,0.1678133768992307,0.902222456447477,0.0,0.022222222222222223,0.024657534246575342,0.021917808219178082,45
832,7524,175,175,0.023258904837852205,0.022748762178548265,0.2967795932972965,0.7666347861238751,0.9488054283711327,0.0,0.03333333333333333,0.019178082191780823,0.025570776255707764,36
833,7524,181,177,0.023524720893141945,0.022748762178548265,0.4514202204669983,0.6516867125447903,0.9444399839638302,0.06666666666666667,0.044444444444444446,0.01643835616438356,0.021917808219178082,12
834,7524,174,173,0.022993088782562468,0.022748762178548265,0.1421389661275966,0.8869702401071115,0.9651471600730266,0.06666666666666667,0.03333333333333333,0.024657534246575342,0.02009132420091324,1
835,7524,169,168,0.022328548644338118,0.022748762178548265,-0.24446260179665805,0.8068725628456673,0.9619235119402324,0.0,0.011111111111111112,0.0136986301369863,0.0228310502283105,74
836,7524,190,187,0.024853801169590642,0.022748762178548265,1.2246233563155056,0.2207171636284594,0.9136596251577292,0.06666666666666667,0.05555555555555555,0.0410958904109589,0.030136986301369864,5
837,7524,171,167,0.022195640616693248,0.022748762178548265,-0.321782915381509,0.7476171580398849,0.9488054283711327,0.0,0.0,0.01643835616438356,0.02009132420091324,157
838,7524,179,176,0.023391812865497075,0.022748762178548265,0.3740999068821474,0.7083299879728727,0.9444399839638302,0.0,0.022222222222222223,0.024657534246575342,0.019178082191780823,48
839,7524,168,166,0.022062732589048378,0.022748762178548265,-0.3991032289663599,0.6898171431586075,0.9444399839638302,0.0,0.011111111111111112,0.0273972602739726,0.017351598173515982,68
840,7524,183,181,0.024056353003721425,0.022748762178548265,0.760701474806402,0.44683539373331865,0.9251250387853388,0.06666666666666667,0.05555555555555555,0.019178082191780823,0.0273972602739726,17
841,7524,207,205,0.0272461456671983,0.022748762178548265,2.6163890008428203,0.008886525231495402,0.6347518022496715,0.03333333333333333,0.022222222222222223,0.0273972602739726,0.026484018264840183,7
842,7524,181,180,0.023923444976076555,0.022748762178548265,0.6833811612215511,0.49436602094040333,0.9362992820840972,0.03333333333333333,0.022222222222222223,0.024657534246575342,0.021004566210045664,29
843,7524,165,165,0.021929824561403508,0.022748762178548265,-0.47642354255121083,0.6337726656374918,0.9444399839638302,0.03333333333333333,0.022222222222222223,0.021917808219178082,0.021917808219178082,9
844,7524,186,185,0.024587985114300905,0.022748762178548265,1.0699827291458057,0.28462708273836373,0.9157596050401668,0.0,0.022222222222222223,0.024657534246575342,0.0273972602739726,32
