date,pick1,prob1,pick1_count,pick1_hit,pick2,prob2,pick2_count,pick2_hit,pick3,prob3,pick3_count,pick3_hit,top1_hit,top2_any_hit,top3_any_hit,picked_hit_count,actual_unique_suffixes,candidate
2025-09-30,51,0.2648056497110043,0,0,28,0.26074624338277297,1,1,50,0.2597969644305206,0,0,0,1,1,1,00 02 04 07 12 23 26 28 34 35 36 38 40 48 52 60 62 63 69 70 72 74 87,long_l10_lr010
2025-10-01,51,0.26368665634285937,0,0,28,0.2595600170406528,0,0,50,0.2588763363154827,0,0,0,0,0,0,01 06 07 08 11 16 22 37 39 43 44 47 53 54 56 62 69 74 77 79 80 83 85 95 99,long_l10_lr010
2025-10-02,51,0.2642858084551336,0,0,28,0.26010122059172663,0,0,50,0.2594079817292097,1,1,0,0,1,1,03 09 11 16 17 23 26 27 34 42 44 47 50 53 59 67 72 76 78 79 81 87 89 90 94 96,long_l10_lr010
2025-10-03,51,0.2662616038821352,0,0,28,0.26181754252566986,0,0,50,0.26083649944540593,0,0,0,0,0,0,04 06 09 13 33 39 45 48 55 56 57 60 65 67 68 69 76 77 81 87 88 94 99,long_l10_lr010
2025-10-04,51,0.26894783973654024,0,0,28,0.2640307950356219,0,0,50,0.2629459805572809,0,0,0,0,0,0,04 05 10 12 14 17 19 23 24 32 39 42 45 54 58 63 65 66 68 70 72 75 77 87,long_l10_lr010
2025-10-05,51,0.2660541053221432,0,0,28,0.2616366250566081,0,0,50,0.26066141928385733,0,0,0,0,0,0,06 14 16 17 24 25 29 45 46 48 52 55 61 65 68 69 71 80 86 87 91 93 99,long_l10_lr010
2025-10-06,51,0.2684305473884669,0,0,28,0.26359466422779176,0,0,50,0.26252765203895145,0,0,0,0,0,0,01 03 04 08 09 10 11 21 22 25 26 27 31 33 40 44 46 48 57 61 85 91 92,long_l10_lr010
2025-10-07,51,0.2677607607926349,0,0,28,0.26301932845318826,1,1,50,0.26197304027924717,0,0,0,1,1,1,02 05 07 12 15 18 25 28 34 37 38 40 41 45 53 61 62 63 64 65 68 79 84 89 95 98,long_l10_lr010
2025-10-08,51,0.2681655146689546,0,0,28,0.26316908996844374,1,1,50,0.26238567429038745,0,0,0,1,1,1,02 03 04 06 07 14 17 19 20 24 27 28 32 33 47 52 59 61 62 63 64 65 77 79 83,long_l10_lr010
2025-10-09,51,0.268107775569056,0,0,28,0.2629077973234968,1,1,50,0.26239138298458187,1,1,0,1,1,2,01 08 20 22 24 28 29 31 36 39 40 44 49 50 54 57 60 64 65 74 76 77 80 92 93,long_l10_lr010
