date,station,pick1,pick2,pick3,pick1_hit,pick2_hit,pick3_hit,top3_any_hit,long_rate_p1,long_rate_p2,long_rate_p3,rate_7_p1,rate_7_p2,rate_7_p3,rate_14_p1,rate_14_p2,rate_14_p3,rate_30_p1,rate_30_p2,rate_30_p3,month_rate_p1,month_rate_p2,month_rate_p3,station_rate_p1,station_rate_p2,station_rate_p3,station_recent_rate_p1,station_recent_rate_p2,station_recent_rate_p3
2026-02-23,Ha Noi,09,77,81,0,0,0,0,0.23260557328066994,0.23572245639755307,0.2367614174365141,0.571297185695869,0.4712971856958689,0.571297185695869,0.5888571804349728,0.5362256014876043,0.3783308646454991,0.40941432141322415,0.3844143214132241,0.3844143214132241,0.48644723601149925,0.48644723601149925,0.3994907142723688,0.23386371763830371,0.23386371763830371,0.2418449382955807,0.26413827187949945,0.2157511751053059,0.19962214284724136
2026-02-24,Quang Ninh,09,77,81,0,0,0,0,0.23260557328066994,0.23572245639755307,0.23624193691703357,0.571297185695869,0.4712971856958689,0.4712971856958689,0.5362256014876043,0.5362256014876043,0.3783308646454991,0.3844143214132241,0.3844143214132241,0.3844143214132241,0.4661786011776868,0.4661786011776868,0.38284526784435347,0.23623122089776563,0.2001201097866545,0.24734233200887676,0.2963963363956285,0.2157511751053059,0.26413827187949945
2026-02-25,Bac Ninh,09,77,81,0,0,0,0,0.23260557328066994,0.23520297587807254,0.23572245639755307,0.4712971856958689,0.37129718569586895,0.4712971856958689,0.483594022540236,0.483594022540236,0.32569928569813067,0.3844143214132241,0.3844143214132241,0.3844143214132241,0.44753145713057935,0.44753145713057935,0.36753145713057933,0.24826825793480267,0.2288238134903582,0.23993492460146934,0.26413827187949945,0.28026730413756396,0.19962214284724136
2026-02-26,Ha Noi,09,90,77,1,0,0,1,0.23260557328066994,0.2502679109430076,0.23520297587807254,0.37129718569586895,0.37129718569586895,0.37129718569586895,0.43096244359286756,0.43096244359286756,0.43096244359286756,0.3844143214132241,0.33441432141322414,0.3844143214132241,0.4303187087794032,0.4303187087794032,0.4303187087794032,0.23375397398854383,0.24501629214903187,0.23375397398854383,0.24800923962143492,0.18349311058917686,0.19962214284724136
2026-02-27,Hai Phong,09,01,90,0,0,0,0,0.23312505380015047,0.2393588200339167,0.2502679109430076,0.4712971856958689,0.4712971856958689,0.37129718569586895,0.43096244359286756,0.43096244359286756,0.43096244359286756,0.40941432141322415,0.33441432141322414,0.33441432141322414,0.45141801586164754,0.37734394178757347,0.4143809788246105,0.2406380375296826,0.2526639394723283,0.21936144178500175,0.312525368653693,0.28026730413756396,0.18349311058917686
2026-02-28,Nam Dinh,09,01,30,1,0,0,1,0.23312505380015047,0.2393588200339167,0.23104713172222838,0.37129718569586895,0.4712971856958689,0.571297185695869,0.43096244359286756,0.3783308646454991,0.3783308646454991,0.3844143214132241,0.33441432141322414,0.3094143214132241,0.4352959438665887,0.36386737243801726,0.32815308672373156,0.23181623593103512,0.23552337216829183,0.24201086058349108,0.2963963363956285,0.24800923962143492,0.2157511751053059
2026-03-01,Thai Binh,16,09,54,1,0,0,1,0.24611206678716344,0.23364453431963098,0.23831985899495564,0.571297185695869,0.37129718569586895,0.4712971856958689,0.483594022540236,0.483594022540236,0.3783308646454991,0.3094143214132241,0.40941432141322415,0.33441432141322414,0.23765728565289646,0.23765728565289646,0.23765728565289646,0.23366980404966348,0.24849834899869036,0.2457179968207478,0.24800923962143492,0.26413827187949945,0.2963963363956285
2026-03-02,Ha Noi,16,57,90,0,1,1,1,0.24663154730664397,0.23780037847547514,0.2502679109430076,0.571297185695869,0.37129718569586895,0.2712971856958689,0.5362256014876043,0.3783308646454991,0.3783308646454991,0.33441432141322414,0.3094143214132241,0.3594143214132241,0.36471440471074706,0.36471440471074706,0.36471440471074706,0.2444323257831083,0.24114902371931843,0.24490136893507827,0.26413827187949945,0.24800923962143492,0.18349311058917686
2026-03-03,Quang Ninh,90,57,73,0,0,0,0,0.25078739146248813,0.23780037847547514,0.22221596289105955,0.37129718569586895,0.37129718569586895,0.37129718569586895,0.3783308646454991,0.3783308646454991,0.32569928569813067,0.3844143214132241,0.33441432141322414,0.33441432141322414,0.4554694897520689,0.4554694897520689,0.4554694897520689,0.236012690628665,0.24711352319110721,0.25173887009212476,0.18349311058917686,0.28026730413756396,0.2157511751053059
2026-03-04,Bac Ninh,41,77,90,1,0,0,1,0.24351466418976084,0.23624193691703357,0.25078739146248813,0.4712971856958689,0.37129718569586895,0.37129718569586895,0.43096244359286756,0.3783308646454991,0.32569928569813067,0.3844143214132241,0.40941432141322415,0.3844143214132241,0.3985358035330603,0.3985358035330603,0.3985358035330603,0.24988873133171774,0.22861213558703689,0.23693776000886854,0.19962214284724136,0.28026730413756396,0.2963963363956285
2026-03-05,Ha Noi,41,73,45,0,0,0,0,0.24403414470924137,0.22273544341054008,0.23052765120274787,0.571297185695869,0.4712971856958689,0.4712971856958689,0.483594022540236,0.32569928569813067,0.43096244359286756,0.40941432141322415,0.3594143214132241,0.33441432141322414,0.4653651586960536,0.4653651586960536,0.3542540475849425,0.23494126515217387,0.24572419998574163,0.22181421405043925,0.2157511751053059,0.28026730413756396,0.2963963363956285
2026-03-06,Hai Phong,41,92,08,0,1,0,1,0.24403414470924137,0.25494323561833226,0.23780037847547514,0.4712971856958689,0.37129718569586895,0.4712971856958689,0.43096244359286756,0.3783308646454991,0.43096244359286756,0.3844143214132241,0.2844143214132241,0.2844143214132241,0.4188286428264482,0.4188286428264482,0.4188286428264482,0.24873356614564407,0.24780935172789914,0.23671877871496017,0.2963963363956285,0.3770414976859511,0.2157511751053059
2026-03-07,Nam Dinh,92,45,40,0,0,0,0,0.2554627161378128,0.23104713172222838,0.234683495358592,0.4712971856958689,0.4712971856958689,0.4712971856958689,0.3783308646454991,0.43096244359286756,0.32569928569813067,0.3094143214132241,0.33441432141322414,0.2594143214132241,0.4716624025694984,0.3807533116604075,0.4716624025694984,0.23993492460146934,0.2612312208977656,0.24919418386072859,0.28026730413756396,0.26413827187949945,0.2157511751053059
2026-03-08,Thai Binh,92,73,40,0,0,0,0,0.2554627161378128,0.22325492393002058,0.234683495358592,0.4712971856958689,0.4712971856958689,0.4712971856958689,0.3783308646454991,0.3783308646454991,0.32569928569813067,0.3094143214132241,0.3594143214132241,0.2594143214132241,0.4323572023553735,0.4323572023553735,0.4323572023553735,0.24456455423109896,0.23715714682369157,0.23530529497183972,0.28026730413756396,0.2318802073633704,0.2157511751053059
2026-03-09,Ha Noi,92,91,73,1,0,0,1,0.2554627161378128,0.24351466418976084,0.22325492393002058,0.37129718569586895,0.37129718569586895,0.37129718569586895,0.32569928569813067,0.32569928569813067,0.32569928569813067,0.3094143214132241,0.3844143214132241,0.3594143214132241,0.3990989560203448,0.3990989560203448,0.3990989560203448,0.2442032420663481,0.2334253601544456,0.24560905275050932,0.2963963363956285,0.18349311058917686,0.28026730413756396
2026-03-10,Quang Ninh,92,40,41,0,0,0,0,0.2559821966572933,0.23520297587807254,0.24351466418976084,0.4712971856958689,0.4712971856958689,0.37129718569586895,0.32569928569813067,0.3783308646454991,0.3783308646454991,0.33441432141322414,0.2594143214132241,0.3844143214132241,0.44202045916174876,0.44202045916174876,0.3705918877331773,0.24318827963917458,0.23117349220849065,0.2515062093988788,0.2318802073633704,0.2157511751053059,0.2963963363956285
2026-03-11,Bac Ninh,91,92,51,0,0,1,1,0.24403414470924137,0.2559821966572933,0.22429388496898162,0.4712971856958689,0.4712971856958689,0.4712971856958689,0.3783308646454991,0.32569928569813067,0.3783308646454991,0.3844143214132241,0.33441432141322414,0.2594143214132241,0.41255242855096547,0.41255242855096547,0.41255242855096547,0.22655242011976606,0.23671877871496017,0.23764299313270507,0.19962214284724136,0.24800923962143492,0.2318802073633704
2026-03-12,Ha Noi,79,51,92,0,0,0,0,0.25234583302092967,0.22481336548846215,0.2559821966572933,0.4712971856958689,0.4712971856958689,0.37129718569586895,0.3783308646454991,0.43096244359286756,0.32569928569813067,0.2594143214132241,0.2844143214132241,0.33441432141322414,0.44926790176653014,0.44926790176653014,0.38676790176653014,0.24315209300683227,0.21036520776093062,0.24455724523165662,0.18349311058917686,0.2157511751053059,0.312525368653693
2026-03-13,Hai Phong,91,09,51,0,0,0,0,0.2445536252287219,0.2341640148391115,0.22481336548846215,0.4712971856958689,0.37129718569586895,0.4712971856958689,0.43096244359286756,0.3783308646454991,0.3783308646454991,0.3844143214132241,0.43441432141322417,0.2844143214132241,0.42284037813320485,0.36401684872144013,0.42284037813320485,0.2365002018186398,0.2401936459552972,0.2291133135453249,0.2963963363956285,0.28026730413756396,0.1512350460730478
2026-03-14,Nam Dinh,91,09,51,1,0,0,1,0.2445536252287219,0.2341640148391115,0.22481336548846215,0.4712971856958689,0.37129718569586895,0.37129718569586895,0.43096244359286756,0.3783308646454991,0.3783308646454991,0.3594143214132241,0.40941432141322415,0.2594143214132241,0.39934924601469346,0.3437936904591379,0.39934924601469346,0.2350876212484615,0.23231241310785095,0.2175113030245947,0.312525368653693,0.2963963363956285,0.344783433169822
2026-03-15,Thai Binh,91,27,38,1,0,1,1,0.2445536252287219,0.22741076808586475,0.23312505380015047,0.4712971856958689,0.571297185695869,0.4712971856958689,0.43096244359286756,0.3783308646454991,0.3783308646454991,0.3594143214132241,0.2594143214132241,0.2844143214132241,0.43096244359286756,0.3783308646454991,0.3783308646454991,0.22583692744642636,0.23786282938907205,0.23971296814947907,0.2318802073633704,0.28026730413756396,0.312525368653693
